0,1.41014
10,1.42946
20,1.4236
30,1.43008
40,1.42961
50,1.44085
60,1.43299
70,1.42438
80,1.43266
90,1.4238
100,1.43536
110,1.43826
120,1.43451
130,1.44207
140,1.4316
150,1.42959
160,1.43067
170,1.42528
180,1.43027
190,1.42466
200,1.42452
210,1.43422
220,1.43326
230,1.43159
240,1.43697
250,1.43697
260,1.43663
270,1.42669
280,1.4341
290,1.42878
300,1.42749
310,1.4253
320,1.43208
330,1.42783
340,1.43478
350,1.42661
360,1.43145
370,1.424
380,1.43533
390,1.43632
400,1.42947
410,1.43664
420,1.42901
430,1.43455
440,1.43273
450,1.43616
460,1.4305
470,1.43812
480,1.43974
490,1.43209
500,1.43785
510,1.44
520,1.43078
530,1.43884
540,1.43428
550,1.426
560,1.44004
570,1.43382
580,1.43611
590,1.43582
600,1.44085
610,1.43433
620,1.43613
630,1.4327
640,1.43682
650,1.43114
660,1.43694
670,1.42872
680,1.43171
690,1.42983
700,1.43331
710,1.43153
720,1.42657
730,1.43619
740,1.43108
750,1.42515
760,1.43688
770,1.43156
780,1.4369
790,1.42974
800,1.427
810,1.42558
820,1.43288
830,1.43082
840,1.43919
850,1.42926
860,1.43584
870,1.43241
880,1.43136
890,1.42623
900,1.43139
910,1.43376
920,1.42485
930,1.42541
940,1.42862
950,1.43193
960,1.43199
970,1.43528
980,1.43242
990,1.41756
1000,1.42287
